rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10
2.54304488357682e-05,2.5919843878062e-05,2.61410118220902e-05,2.53966081906462e-05,2.57356650739342e-05,2.54473096517666e-05,2.56000426331003e-05,2.55877011860106e-05,2.54465244122029e-05,2.56782739385832e-05
9.60103890295877e-06,9.62903508941209e-06,9.39187017786417e-06,9.33496961492138e-06,9.45315174899627e-06,9.49371750035203e-06,1.00135375648243e-05,9.28846597001869e-06,1.00035894457895e-05,9.14746521127848e-06
6.81167626498174e-06,7.08028333982763e-06,7.13649768139143e-06,7.21359704829482e-06,6.88238484089044e-06,6.9467078462603e-06,7.14141731836194e-06,7.59729545088463e-06,7.23169738596106e-06,6.92199328927855e-06
5.32562492316557e-06,5.77464163566937e-06,5.47951248712704e-06,5.33475330048531e-06,5.87523087021665e-06,5.29348351722121e-06,5.59379449432097e-06,5.88673214145434e-06,5.63700202219936e-06,5.94350251015428e-06
4.46911743392203e-06,4.73278922059258e-06,5.04629759964447e-06,5.14226651226105e-06,4.93290929268534e-06,4.15025965111039e-06,4.90129127414733e-06,4.98617001833713e-06,4.70960171916688e-06,5.65088086112145e-06
4.37383000215301e-06,4.7573863610096e-06,4.6086771145011e-06,4.10035399097165e-06,4.70478556809802e-06,4.4632491562717e-06,4.39744002148117e-06,4.79417685994188e-06,4.33649162836027e-06,4.37742538445115e-06
3.96440809440968e-06,4.23958090879712e-06,4.14295608163617e-06,4.10468025576927e-06,4.11628242561166e-06,4.01094295803104e-06,4.51103414302209e-06,4.13230250290768e-06,4.2475238595521e-06,4.53230121314268e-06
4.03441580476717e-06,3.83618625626439e-06,4.00217487469852e-06,3.39359734907706e-06,3.90822142594006e-06,3.74700142708368e-06,3.8296166285442e-06,3.88236998193625e-06,3.23992959329813e-06,3.66672138935138e-06
3.31692010756168e-06,3.68945448549513e-06,4.08216317854013e-06,3.89315408347114e-06,3.71570071687243e-06,3.50253961038054e-06,3.51787650153953e-06,3.58432877670103e-06,3.91552419416946e-06,3.8001477072314e-06
3.56113878106374e-06,3.59124290678574e-06,3.22310325813464e-06,3.81584975956342e-06,3.35959664556957e-06,3.10632809468097e-06,3.68801493907779e-06,3.44601894761421e-06,3.69899543486288e-06,3.56134744741867e-06
3.09288453675781e-06,3.26759580467794e-06,3.57643929834176e-06,3.32398593589718e-06,3.25631503327297e-06,3.37085747965291e-06,3.49158006856933e-06,3.97188704057961e-06,3.749799198281e-06,3.61451265527727e-06
3.94488673920943e-06,3.64289592617165e-06,2.87048865685669e-06,3.52310141382049e-06,3.16162828983539e-06,3.47896587486138e-06,3.65755433559366e-06,3.65056137605052e-06,4.0120951825531e-06,3.29253363364452e-06
3.33193575418214e-06,3.75853075817099e-06,3.37303025865423e-06,3.41103010147513e-06,3.86951190111969e-06,3.06486145937067e-06,3.63620157337891e-06,3.38957319511368e-06,3.27348826340248e-06,2.96321910775468e-06
3.65827507314141e-06,4.01095581513036e-06,3.85735902220733e-06,3.63931009604813e-06,3.25507991322953e-06,3.4390062302865e-06,3.61895439669924e-06,3.79343218331767e-06,3.03450004519708e-06,3.23512783925674e-06
3.40323726216851e-06,3.40577450593395e-06,3.529361332167e-06,3.29962435791558e-06,3.52915636094492e-06,3.18622241130207e-06,3.44626635667306e-06,3.27001383644224e-06,3.59677659218902e-06,3.38761143903973e-06
3.47016281216511e-06,2.98084549678389e-06,3.21137602176534e-06,3.50715349901329e-06,3.3120281913026e-06,3.18465557019228e-06,3.39213418142883e-06,3.29531877037661e-06,3.46620205823425e-06,3.07026336042539e-06
2.85207414270541e-06,3.23514420876937e-06,3.08272369437103e-06,3.14532602405792e-06,3.70388989832737e-06,2.77437271871883e-06,3.71632610720575e-06,2.77697515768759e-06,3.13793161054977e-06,3.12622423294568e-06
3.50380235959393e-06,2.8636731522241e-06,3.2976564615206e-06,2.96508140674387e-06,3.41038567774704e-06,2.9322602653299e-06,2.82043278147607e-06,3.28267732542936e-06,2.9805789970443e-06,3.26196505348345e-06
3.52724916313163e-06,2.9433435056405e-06,3.41541695200015e-06,3.10593064608509e-06,2.76984488681476e-06,3.23259887890952e-06,3.01849391501435e-06,2.70755781868628e-06,3.18702726139393e-06,3.26908851620033e-06
