rmp1,rmp2,rmp3,rmp4,rmp5,rmp6,rmp7,rmp8,rmp9,rmp10
1.96782307700926e-05,1.92707433469087e-05,1.95874257413971e-05,1.9123976659975e-05,1.9142128903739e-05,1.91418806983299e-05,2.05935897259601e-05,1.91273006899879e-05,1.89584327786737e-05,1.943403638972e-05
2.17908143210597e-05,2.18911255221976e-05,2.21930567429507e-05,2.13285494419379e-05,2.13497615535402e-05,2.1947216664955e-05,2.16755646439827e-05,2.21009121456185e-05,2.09140739705037e-05,1.97692251723183e-05
2.36649365669994e-05,2.28388966049825e-05,2.3069139860442e-05,2.28401989486333e-05,2.19774429457925e-05,2.26432078656541e-05,2.34589871744451e-05,2.24058917967106e-05,2.28192332897941e-05,2.12535133213278e-05
2.29303149353193e-05,2.32593204811501e-05,2.29893559203794e-05,2.2289476085942e-05,2.26937750467384e-05,2.30450990153969e-05,2.31770416829785e-05,2.34896067284415e-05,2.38797670938272e-05,2.29580328980071e-05
2.33086754910281e-05,2.53214910140252e-05,2.35452899803378e-05,2.35829394303262e-05,2.26345328554736e-05,2.30904668837529e-05,2.35765120935291e-05,2.47667052785244e-05,2.41817677761936e-05,2.41070172234243e-05
2.34779499039819e-05,2.37812548284062e-05,2.47693050693739e-05,2.33479160108129e-05,2.34701277844715e-05,2.27652981766222e-05,2.31870787446294e-05,2.38011130800218e-05,2.36979788170685e-05,2.28308139714889e-05
2.29172698917699e-05,2.41996007629907e-05,2.38712850101794e-05,2.44523667159934e-05,2.3614761176419e-05,2.34619297136572e-05,2.40279228976118e-05,2.48516078990701e-05,2.32537728449895e-05,2.43903398660336e-05
2.45630872038444e-05,2.42211104809517e-05,2.47533850773503e-05,2.3157237243797e-05,2.45948991378614e-05,2.39033356825744e-05,2.43458537066363e-05,2.3662033547528e-05,2.29438672466653e-05,2.45477907426726e-05
2.34019062163888e-05,2.49118167234462e-05,2.40667700969723e-05,2.34578103107478e-05,2.53858746559761e-05,2.48191623705838e-05,2.3703431787915e-05,2.55941308324034e-05,2.4039516194753e-05,2.42306524313695e-05
2.43891185265546e-05,2.42448671223716e-05,2.41109131837464e-05,2.54599339411366e-05,2.51270607684423e-05,2.48890629947663e-05,2.45309714344472e-05,2.385850138578e-05,2.51802488355399e-05,2.45281412587742e-05
2.43345152098846e-05,2.50596902110031e-05,2.49777598211618e-05,2.44055278583078e-05,2.50818042106648e-05,2.40460433631579e-05,2.45822887885038e-05,2.44530319514237e-05,2.41795599035671e-05,2.57288222882605e-05
2.52811218336045e-05,2.58373857977927e-05,2.51698418414357e-05,2.3690605760792e-05,2.51856176941243e-05,2.52715289411199e-05,2.43956428163679e-05,2.46185618624577e-05,2.49637363227268e-05,2.40115382001045e-05
2.30933587605331e-05,2.47082161881364e-05,2.52581748302109e-05,2.37067702651825e-05,2.49690081527406e-05,2.50373130822358e-05,2.48921277656385e-05,2.40103468037297e-05,2.47802912410299e-05,2.49314162452344e-05
2.55523516817312e-05,2.49947070889587e-05,2.46753691356086e-05,2.49841936053025e-05,2.54573269304763e-05,2.49623835007061e-05,2.43477925553478e-05,2.42938537549083e-05,2.37880378552924e-05,2.5150668649445e-05
2.45297815442983e-05,2.45047875566634e-05,2.5398836684475e-05,2.49971089368189e-05,2.44107310323555e-05,2.42855719448669e-05,2.44989763343422e-05,2.51887551684495e-05,2.55306066074375e-05,2.50054185906323e-05
2.41590171220143e-05,2.46222727990579e-05,2.49871953146512e-05,2.50808257865008e-05,2.53610371158334e-05,2.53942999447488e-05,2.49495817193506e-05,2.41046369289147e-05,2.60346332365128e-05,2.48866755670464e-05
